title,description,authors,publisher,publishedDate,genres,ratingsCount
Crisis and faith,"Late pastor Ron Dunn's acclaimed book clarifies the differences between true and counterfeit faith, showing faith's rewards to be more about experiencing God's presence than in earthly blessings.",['Ron Dunn'],B&H Publishing Group,2013-06,['Religion'],3.0
Hunters & Shooters,"The third novel in the Earth's Children series, Jean M. Auel's internationally bestselling epic of life 25,000 years ago when two kinds of human beings, Neanderthal and Cro-Magnon, shared the earth. Leaving the valley of horses with Jondalar, the handsome man she has nursed back to health and come to love, Ayla embarks on a journey that will lead her to the Mamutoi, the Mammoth Hunters, who are Others like her. As she settles into this new life among a people at first strange and disturbingly different, soon Ayla begins to feel at home, finally leaving her painful memories of the Clan behind and finding female friends. Yet Ayla is also drawn to Ranec, the dark-skinned, magnetic master-carver of ivory. Ayla must choose: remain with Ranec and the Mamutoi, or follow Jondalar into the unknown . . . Set 25,000 years in the past, yet utterly relatable today, The Mammoth Hunters is an epic tale of love, identity and the struggle to survive, rich in detail of language, culture, myth and ritual. Praise for Jean M. Auel 'Beautiful, exciting, imaginative' New York Times 'A major bestseller . . . A remarkable work of imagination' Daily Express",['Jean M. Auel'],Hachette UK,2010-12-21,['Fiction'],2.0
Little Scraggly Hair: A Dog on Noah's Ark,"At a time when men and dogs are not friendly, Scraggly Hair helps Noah build an ark and round up the pairs of animals it will carry, but conditions on the boat turn his warm, dry nose to a cold, wet one.",['Lynn Cullen'],,2003-01,['Juvenile Fiction'],
The Brethren A Tale Of The Crusades,"This novel by Sir H. Rider Haggard, is a classic tale of love and chivalry, unfolding amidst the touching story of two English knights who are in love with the same maiden. The devotion of these men is tested as they are thrust into epic crusader battles.",['H. Rider Haggard'],Christian Liberty Press,2004,['Juvenile Fiction'],8.0
Flavors of Korea: Delicious Vegetarian Cuisine (Healthy World Cuisine),"Presents traditional Korean recipes - ranging from mild to piquant - that have been handed down through the generations. The book provides low-fat, vegetarian variations of recipes including dumpling soup, red pepper broccoli, sesame bean curd, and honey cookies.","['Deborah Coultrip-Davis', 'Young Sook Ramsay']",Book Publishing Company (TN),1998-01-01,['Cooking'],
Style and the Man: How and Where to Buy Fine Mens' Clothes,,['Alan J. Flusser'],Random House Incorporated,1985,['Crafts & Hobbies'],2.0
"Watershed Management: Practice, Policies, and Coordination","Successful approaches to protecting and improving watershed resources Ensuring a safe and adequate supply of water requires the combined efforts and expertise of resource managers, engineers, planners, technical experts, and policy analysts worldwide. This contributed volume is unique in recognizing this need and provides today's first truly comprehensive, international coverage of effective watershed management. Experts representing the full spectrum of environmental professions and viewpoints provide detailed case studies of how watershed management is being implemented around the world, focusing on the United States, France, the former Soviet Union, the Pacific Rim, the Nile River, and other areas. Successful approaches such as whole watershed and full stakeholder involvement; watershed sanitary surveys; urban watershed management; river basin planning; integrated management and water resource protection; watershed-based coastal management wetlands restoration; water quality monitoring and assessment; stormwater and other nonpoint pollution source management; water withdrawal; wastewater discharge permitting; and other tools for cost-effective watershed management are highlighted. Mathematical models demonstrate how various systems can besuccessfully managed for future sustainability.",['Robert J. Reimold'],McGraw-Hill Professional Publishing,1998,['Technology & Engineering'],
Succeed at Work Without Sidetracking Your Faith: 7 Lessons of Career Excellence for Women,"A compilation of practical lessons and career management advice, this resource is a combination of personal and humorous stories, practical lessons and biblical wisdom for women.",['Amy Baker'],New Hope Publishers,2005-12-22,['Business & Economics'],
Munchkins Remember,"Profiles the numerous men and women who played the citizens of Munchkinland, offering their perspectives on the creation of ""The Wizard of Oz,"" the film's stars, and their own lives before and after the film",['Stephen Cox'],Plume,1989,['Acteurs de cinéma - États-Unis - Biographies'],
Dr. Bernstein's Diabetes Solution: The Complete Guide to Achieving Normal Blood Sugars Revised & Updated,"Originally published in 1997, DR. BERNSTEIN'S DIABETES SOLUTION is a unique resource that covers both adult- and childhood-onset diabetes, explains step-by-step how to normalize blood sugar levels and prevent or reverse complications, and offers detailed guidelines for establishing a treatment plan. Readers will find fifty gourmet recipes, in addition to a comprehensive discussion of diet, obesity, and new drugs to curb carbohydrate craving and overeating. Now in its fourth edition, the book presents up-to-the-minute information on insulin resistance, blood-testing devices, measuring blood sugar, new types of insulin, gastroparesis and other issues, as well as updated diet guidelines. DR. BERNSTEIN'S DIABETES SOLUTION is the one book every diabetic must own.",['Richard K. Bernstein'],Hachette UK,2011-11-01,['Health & Fitness'],3.0
"Stopped at Stalingrad: The Luftwaffe and Hitler's Defeat in the East, 1942-1943 (Modern War Studies)","A case study in combined arms warfare that fills many of the gaps left by other studies of the eastern war, reconsidering Luftwaffe operation in the Battle of Stalingrad in light of a wider body of documentary sources and analyzing many previously ignored events. Focuses on Hitler's use of the air force as a tactical rather than strategic weapon in support of ground forces, and shows that the army relied on Luftwaffe support to a greater degree than previously revealed. Includes bandw photos. For military historians and general readers. Annotation copyrighted by Book News, Inc., Portland, OR",['Joel S. A. Hayward'],,1998,['History'],1.0
